,bed,bath,acre_lot,state,house_size,price
0,2.0,1.0,0.34,0,676.0,180000.0
1,3.0,1.0,0.46,0,1196.0,239900.0
2,3.0,3.0,0.45,0,2314.0,525000.0
3,3.0,2.0,0.36,0,1276.0,289900.0
4,4.0,2.0,0.11,0,1732.0,275000.0
5,6.0,2.0,0.24,0,1800.0,335000.0
6,3.0,2.0,0.46,0,1476.0,384900.0
7,4.0,3.0,1.63,0,2910.0,779900.0
8,3.0,2.0,1.76,0,1968.0,199999.0
9,4.0,2.0,2.0,0,1607.0,419000.0
10,4.0,3.0,0.56,0,2847.0,745000.0
11,4.0,4.0,1.5,0,4366.0,875000.0
12,4.0,4.0,0.77,0,3879.0,699900.0
13,3.0,2.0,0.16,0,1280.0,275000.0
14,6.0,5.0,0.39,0,3246.0,880000.0
15,3.0,1.0,1.39,0,1748.0,425000.0
16,4.0,2.0,0.49,0,1814.0,415000.0
17,3.0,2.0,0.5,0,1128.0,390000.0
18,4.0,3.0,0.65,0,3465.0,865000.0
19,4.0,3.0,0.46,0,2143.0,499900.0
20,5.0,4.0,0.64,0,2363.0,650000.0
21,4.0,3.0,0.25,0,1764.0,449900.0
22,3.0,4.0,3.04,0,2074.0,975000.0
23,3.0,2.0,0.2,0,1349.0,439900.0
24,3.0,2.0,0.73,0,1559.0,495000.0
25,2.0,1.0,2.0,0,1600.0,350000.0
26,4.0,2.0,0.33,0,2246.0,180000.0
27,2.0,2.0,0.51,0,2000.0,397000.0
28,4.0,3.0,0.63,0,2624.0,150000.0
29,3.0,1.0,0.14,0,1072.0,105000.0
30,4.0,3.0,0.63,0,2624.0,150000.0
31,5.0,2.0,0.27,0,3008.0,289000.0
32,3.0,1.0,0.31,0,1252.0,184900.0
33,2.0,2.0,0.92,0,1723.0,389900.0
34,4.0,3.0,3.8,0,2768.0,459900.0
35,4.0,3.0,0.29,0,1514.0,249900.0
36,4.0,2.0,0.56,0,1523.0,324900.0
37,3.0,2.0,1.02,0,1617.0,364900.0
38,2.0,1.0,0.28,0,1207.0,240000.0
39,2.0,1.0,0.4,0,1034.0,224900.0
40,3.0,2.0,0.52,0,2039.0,442500.0
41,4.0,4.0,0.11,0,1908.0,279900.0
42,3.0,2.0,0.11,0,2240.0,299500.0
43,3.0,2.0,0.51,0,1541.0,300000.0
44,3.0,3.0,1.82,0,2096.0,469900.0
45,4.0,2.0,0.22,0,1314.0,269900.0
46,4.0,2.0,0.3,0,2112.0,295000.0
47,8.0,4.0,0.11,0,4356.0,374900.0
48,6.0,2.0,0.23,0,2399.0,339000.0
49,3.0,2.0,0.23,0,1844.0,399900.0
50,2.0,2.0,0.05,0,1200.0,275000.0
51,4.0,3.0,0.41,0,2590.0,579900.0
52,3.0,2.0,0.3,0,1880.0,365000.0
53,1.0,1.0,0.31,0,640.0,215000.0
54,4.0,5.0,1.36,0,4140.0,1249900.0
55,3.0,2.0,0.14,0,1728.0,499000.0
56,3.0,2.0,0.12,0,1531.0,489900.0
57,4.0,4.0,0.23,0,1764.0,359000.0
58,3.0,2.0,0.23,0,1712.0,389999.0
59,4.0,3.0,0.56,0,2847.0,745000.0
60,3.0,2.0,1.54,0,1630.0,525000.0
61,3.0,4.0,3.04,0,2074.0,975000.0
62,1.0,1.0,0.4,0,634.0,65000.0
63,5.0,6.0,0.71,0,9484.0,1150000.0
